n,input_density,nnz_density,time_basic,time_blocked,time_sparse
64,1.000000,1.000000,0.000863,0.000985,0.000742
128,1.000000,1.000000,0.005357,0.005689,0.004272
256,1.000000,1.000000,0.034665,0.038493,0.028555
512,1.000000,1.000000,0.268095,0.309884,0.236067
64,0.100000,0.098145,0.000534,0.000606,0.000057
128,0.100000,0.098328,0.004200,0.004833,0.000418
256,0.100000,0.098145,0.034381,0.038408,0.002983
512,0.100000,0.099712,0.266546,0.304668,0.023558
64,0.010000,0.011230,0.000514,0.000562,0.000008
128,0.010000,0.009766,0.004075,0.004904,0.000169
256,0.010000,0.010162,0.053213,0.049955,0.000712
512,0.010000,0.009609,0.289987,0.301887,0.003080
64,0.001000,0.001953,0.000518,0.000577,0.000002
128,0.001000,0.000488,0.004093,0.004738,0.000065
256,0.001000,0.001022,0.032135,0.038372,0.000256
512,0.001000,0.000996,0.293219,0.317187,0.001172
